,f12,f13,f14
0,BK0481,90,汽车行业
1,BK0737,90,软件服务
2,BK0447,90,电子信息
3,BK0537,90,材料行业
4,BK0546,90,玻璃陶瓷
5,BK0726,90,园林工程
6,BK0738,90,多元金融
7,BK0736,90,电信运营
8,BK0471,90,化纤行业
9,BK0473,90,券商信托
10,BK0458,90,仪器仪表
11,BK0740,90,文教休闲
12,BK0421,90,高速公路
13,BK0454,90,塑胶制品
14,BK0732,90,贵金属
15,BK0448,90,通讯行业
16,BK0440,90,工艺商品
17,BK0427,90,公用事业
18,BK0734,90,珠宝首饰
19,BK0910,90,专用设备
20,BK0429,90,交运设备
21,BK0731,90,化肥行业
22,BK0485,90,旅游酒店
23,BK0539,90,综合行业
24,BK0725,90,装修装饰
25,BK0538,90,化工行业
26,BK0450,90,港口水运
27,BK0729,90,船舶制造
28,BK0484,90,国际贸易
29,BK0728,90,环保工程
30,BK0739,90,金属制品
31,BK0428,90,电力行业
32,BK0470,90,造纸印刷
33,BK0480,90,航天航空
34,BK0436,90,纺织服装
35,BK0464,90,石油行业
36,BK0479,90,钢铁行业
37,BK0733,90,包装材料
38,BK0478,90,有色金属
39,BK0730,90,农药兽药
40,BK0437,90,煤炭采选
41,BK0735,90,安防设备
42,BK0420,90,民航机场
43,BK0486,90,文化传媒
44,BK0476,90,木业家具
45,BK0422,90,交运物流
46,BK0545,90,机械行业
47,BK0482,90,商业百货
48,BK0457,90,输配电气
49,BK0425,90,工程建设
50,BK0451,90,房地产
51,BK0727,90,医疗行业
52,BK0456,90,家电行业
53,BK0474,90,保险
54,BK0424,90,水泥建材
55,BK0477,90,酿酒行业
56,BK0438,90,食品饮料
57,BK0475,90,银行
58,BK0433,90,农牧饲渔
59,BK0465,90,医药制造
60,BK0459,90,电子元件
